Ts_real_s,time_s,PWM_input,omega_rad_s,current_A,RPM
0.01,2.490001,70,23.538958,0.06364,224.7804
0.01,2.500001,70,23.4163578,0.07066,223.6098
0.01,2.510001,70,23.9067536,0.05852,228.2928
0.01,2.520001,70,24.0293524,0.08606,229.4634
0.01,2.530001,70,23.2937598,0.06592,222.439
0.01,2.540001,70,24.3971484,0.07266,232.9756
0.01,2.550001,70,23.6615564,0.06332,225.9512
0.01,2.560001,70,23.1711614,0.0869,221.2684
0.01,2.570001,70,24.2745508,0.06854,231.805
0.01,2.580001,70,23.906753,0.05574,228.2928
0.01,2.590001,70,23.4163584,0.07596,223.6098
0.01,2.600001,70,23.4163594,0.07606,223.6098
0.01,2.610001,70,24.0293516,0.06106,229.4634
0.01,2.620001,70,23.6615558,0.06666,225.9514
0.01,2.630001,70,23.9067538,0.06976,228.2926
0.01,2.640001,70,24.0293522,0.07482,229.4636
0.01,2.650001,70,23.784155,0.07686,227.122
0.01,2.660001,70,23.6615564,0.07884,225.9514
0.01,2.670001,70,24.6423466,0.0719,235.3174
0.01,2.680001,70,22.8033664,0.0766,217.756
0.01,2.690001,70,23.5389566,0.06098,224.7804
0.01,2.700001,70,24.764944,0.06314,236.4878
0.01,2.710001,70,23.7841548,0.06698,227.1218
0.01,2.720001,70,23.0485616,0.07136,220.0974
0.01,2.730001,70,24.0293518,0.07238,229.4634
0.01,2.740001,70,24.0293524,0.07802,229.4632
0.01,2.750001,70,23.5389566,0.06944,224.7804
0.01,2.760001,70,24.1519508,0.07328,230.6342
0.01,2.770001,70,23.1711614,0.07428,221.2682
0.01,2.780001,70,23.6615556,0.07508,225.9512
0.01,2.790001,70,23.7841546,0.06826,227.122
0.01,2.800001,70,23.6615566,0.06322,225.9512
0.01,2.810001,70,23.7841544,0.07596,227.122
0.01,2.820001,70,24.2745498,0.08088,231.8048
0.01,2.830001,70,24.274549,0.07348,231.8048
0.01,2.840001,70,22.8033644,0.0827,217.756
0.01,2.850001,70,24.029352,0.07788,229.4632
0.01,2.860001,70,23.5389576,0.07368,224.7804
0.01,2.870001,70,23.9067532,0.0707,228.2926
0.01,2.880001,70,23.4163584,0.06196,223.6098
0.01,2.890001,70,24.274549,0.0781,231.8048
0.01,2.900001,70,23.7841552,0.06302,227.1218
0.01,2.910001,70,23.5389566,0.0667,224.7804
0.01,2.920001,70,23.5389568,0.06988,224.7804
0.01,2.930001,70,24.3971482,0.08922,232.9756
0.01,2.940001,70,23.906753,0.06824,228.2926
0.01,2.950001,70,23.048562,0.07594,220.0974
0.01,2.960001,70,23.784155,0.07912,227.1218
0.01,2.970001,70,23.6615552,0.0769,225.9512
0.01,2.980001,70,24.0293524,0.06224,229.4634
0.01,2.990001,70,24.3971482,0.06318,232.9758
0.01,3.000001,70,23.0485624,0.08114,220.0976
0.01,3.010001,70,23.9067538,0.08268,228.2926
0.01,3.020001,70,24.5197476,0.06936,234.1466
0.01,3.030001,70,23.7841544,0.07274,227.122
0.01,3.040001,70,22.9259648,0.07512,218.9268
0.01,3.050001,70,24.764944,0.07644,236.4878
0.01,3.060001,70,23.5389566,0.05464,224.7804
0.01,3.070001,70,23.7841552,0.0644,227.1218
0.01,3.080001,70,23.5389576,0.06998,224.7806
0.01,3.090001,70,23.661556,0.05684,225.9512
